target_key	stage	source_embryo	target_embryo	method	seed	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high
6s_E2_to_E1	6-somite	E2	E1	registered_nearest_neighbor	43.0	0.3443219065666199	0.30484438476431336	1.8210097217772006	0.412137422720882	0.019115033333517103	0.043700648072443234	0.8985331455866495	0.047624442419847264	100.0	0.31540043527881306	0.3783745765686035
75p_E1_to_E2	75% epiboly	E1	E2	anchor_only_calibrated	43.0	0.6518192291259766	0.6018166309240374	2.9318285315586223	0.5979370095352539	0.0175873449574103	0.06235108615055507	0.6414828300476074	0.1212873307600865	100.0	0.5942116816838582	0.6922270144025484
75p_E1_to_E2	75% epiboly	E1	E2	atlas_plus_global_anchor_residual	43.0	0.6371326049168905	0.5644696763124967	2.8458672390149364	0.5981949422431745	0.019906108355523765	0.06218231043037333	0.671321451663971	0.24056624742223612	100.0	0.5732844869295756	0.6885500421126683
75p_E1_to_E2	75% epiboly	E1	E2	atlas_plus_local_anchor_residual	43.0	0.6384305953979492	0.5645590597715935	2.841337937991099	0.5998196568629321	0.020375680939574068	0.06376406172829703	0.6761229236920675	0.2514962192227641	100.0	0.5821555122733116	0.6863892873128256
75p_E1_to_E2	75% epiboly	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.6579148769378662	0.6004637559276388	2.9515419457047547	0.6176476506911549	0.017802392164827	0.061661823271428606	0.6634019215901693	0.22992354038916685	100.0	0.6118889580170314	0.7173023750384648
75p_E1_to_E2	75% epiboly	E1	E2	registered_idw_k12	43.0	0.43715720375378925	0.41606076717969653	2.0945460046418583	0.492168563643178	0.02387085017724923	0.06511973796104308	0.8137497901916504	0.4721462276634403	100.0	0.3734588940938313	0.4867953856786092
75p_E1_to_E2	75% epiboly	E1	E2	registered_nearest_neighbor	43.0	0.36834512154261273	0.3137639531375184	1.8449615112268205	0.46380145161074343	0.024499598432816568	0.06483743250972093	0.9424687226613363	0.0975006228090099	100.0	0.283973753452301	0.4071711798508962
75p_E2_to_E1	75% epiboly	E2	E1	anchor_only_calibrated	43.0	0.6557109355926514	0.6195159966085138	3.395297679937498	0.6144211068224386	0.0240316085812847	0.06767044936344324	0.5932778716087341	0.10243597787965401	100.0	0.6092545146743457	0.695726548631986
75p_E2_to_E1	75% epiboly	E2	E1	atlas_plus_global_anchor_residual	43.0	0.6397459506988525	0.5832971846476003	3.3409767898578573	0.5947497334497749	0.0188654499564084	0.06193719350607607	0.6284091273943583	0.21666177591718247	100.0	0.5732868388295174	0.7161544372638066
75p_E2_to_E1	75% epiboly	E2	E1	atlas_plus_local_anchor_residual	43.0	0.640826404094696	0.5781097804038541	3.294761627082656	0.594330954168255	0.018486035829767235	0.06290985770844457	0.6348126331965128	0.24166504276618303	100.0	0.5707023541132609	0.7120409369468689
75p_E2_to_E1	75% epiboly	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.6748987038930258	0.6292147498376961	3.397954698934985	0.594412843188825	0.0202545905309555	0.06382154074335296	0.6225960453351339	0.19046870782596148	100.0	0.6058764855066935	0.7166432857513428
75p_E2_to_E1	75% epiboly	E2	E1	registered_idw_k12	43.0	0.43016208211580914	0.40262778146014816	2.392519295597523	0.43844430698718445	0.023850069060336637	0.06770172048964804	0.7835526466369629	0.44058474703201184	100.0	0.39687243004639944	0.5074669574697812
75p_E2_to_E1	75% epiboly	E2	E1	registered_nearest_neighbor	43.0	0.336738924185435	0.30621023750197435	2.052339436552844	0.39187307462368914	0.02532310010607153	0.06679344041904817	0.9142971038818359	0.08296364861418	100.0	0.2812586858868599	0.40348698322971654
