target_key	stage	target_embryo	comparison	endpoint	endpoint_label	favorable_direction	delta	map_value	comparator_value
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	weighted_centroid_error_median	Centroid error	positive	0.0038340645312494315	0.0156891454207954	0.01952320995204483
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	spatial_emd_median	Spatial EMD	positive	0.002040074572024833	0.040146395412271337	0.04218646998429617
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	log1p_rmse	log1p RMSE	positive	0.10673419634501147	0.6590457359949747	0.7657799323399862
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.48702401916186006	0.48702401916186006	0.0
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	svg_spatial_pearson_median	Spatial Pearson	positive	0.002233763535817501	0.5788195331891378	0.5765857696533203
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	auprc_enrichment_median	AUPRC enrichment	positive	-0.005413222139640794	2.610849757723298	2.6162629798629387
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	topk_dice_median	Prevalence-matched Dice	positive	0.0029364125901634175	0.5300805380568825	0.5271441254667191
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	weighted_centroid_error_median	Centroid error	positive	-0.0010141561789364009	0.0156891454207954	0.014674989241859
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	spatial_emd_median	Spatial EMD	positive	0.0030057387020372	0.040146395412271337	0.04315213411430854
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	log1p_rmse	log1p RMSE	positive	-0.0492881337801615	0.6590457359949747	0.6097576022148132
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	residual_spatial_pearson_median	Residual spatial Pearson	positive	-0.027318447828292902	0.48702401916186006	0.514342466990153
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	svg_spatial_pearson_median	Spatial Pearson	positive	0.22075767318407696	0.6579148769378662	0.43715720375378925
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	auprc_enrichment_median	AUPRC enrichment	positive	0.8569959410628964	2.9515419457047547	2.0945460046418583
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	topk_dice_median	Prevalence-matched Dice	positive	0.1254790870479769	0.6176476506911549	0.492168563643178
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	weighted_centroid_error_median	Centroid error	positive	0.006068458012422232	0.017802392164827	0.02387085017724923
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	spatial_emd_median	Spatial EMD	positive	0.003457914689614469	0.061661823271428606	0.06511973796104308
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	log1p_rmse	log1p RMSE	positive	0.15034786860148108	0.6634019215901693	0.8137497901916504
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.49881090720494586	0.49881090720494586	0.0
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	svg_spatial_pearson_median	Spatial Pearson	positive	0.0060956478118896484	0.6579148769378662	0.6518192291259766
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	auprc_enrichment_median	AUPRC enrichment	positive	0.01971341414613237	2.9515419457047547	2.9318285315586223
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	topk_dice_median	Prevalence-matched Dice	positive	0.019710641155901043	0.6176476506911549	0.5979370095352539
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	weighted_centroid_error_median	Centroid error	positive	-0.00021504720741669786	0.017802392164827	0.0175873449574103
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	spatial_emd_median	Spatial EMD	positive	0.0006892628791264621	0.061661823271428606	0.06235108615055507
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	log1p_rmse	log1p RMSE	positive	-0.021919091542561886	0.6634019215901693	0.6414828300476074
75p_E1_to_E2	75% epiboly	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	residual_spatial_pearson_median	Residual spatial Pearson	positive	-0.005510767300923647	0.49881090720494586	0.5043216745058695
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	svg_spatial_pearson_median	Spatial Pearson	positive	0.2447366217772166	0.6748987038930258	0.43016208211580914
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	auprc_enrichment_median	AUPRC enrichment	positive	1.005435403337462	3.397954698934985	2.392519295597523
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	topk_dice_median	Prevalence-matched Dice	positive	0.15596853620164058	0.594412843188825	0.43844430698718445
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	weighted_centroid_error_median	Centroid error	positive	0.0035954785293811353	0.0202545905309555	0.023850069060336637
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	spatial_emd_median	Spatial EMD	positive	0.0038801797462950788	0.06382154074335296	0.06770172048964804
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	log1p_rmse	log1p RMSE	positive	0.16095660130182898	0.6225960453351339	0.7835526466369629
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.5303763349850973	0.5303763349850973	0.0
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	svg_spatial_pearson_median	Spatial Pearson	positive	0.019187768300374386	0.6748987038930258	0.6557109355926514
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	auprc_enrichment_median	AUPRC enrichment	positive	0.0026570189974868264	3.397954698934985	3.395297679937498
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	topk_dice_median	Prevalence-matched Dice	positive	-0.02000826363361352	0.594412843188825	0.6144211068224386
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	weighted_centroid_error_median	Centroid error	positive	0.003777018050329199	0.0202545905309555	0.0240316085812847
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	spatial_emd_median	Spatial EMD	positive	0.003848908620090283	0.06382154074335296	0.06767044936344324
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	log1p_rmse	log1p RMSE	positive	-0.029318173726399777	0.6225960453351339	0.5932778716087341
75p_E2_to_E1	75% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.00010166565577196529	0.5303763349850973	0.5302746693293253
