biopsy	array	fibrosis_stage	program	predeclared_genes	available_hidden_genes	n_available	spatial_residual_pearson	measured_mean_residual	predicted_mean_residual
VLP119_D_C1	VLP119_D	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.8638485737467414	0.02071133255958557	-0.252844899892807
VLP119_D_C1	VLP119_D	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.4190081847325353	0.09930448234081268	0.013001443818211555
VLP119_D_C1	VLP119_D	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7597404110064361	0.6579650044441223	0.19578973948955536
VLP119_D_C1	VLP119_D	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.8029644871148558	-0.5829153060913086	-0.5140066146850586
VLP119_D_C2	VLP119_D	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.5530498446527581	-0.08439502120018005	-0.10147316753864288
VLP119_D_C2	VLP119_D	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.6126589056808532	-0.42848002910614014	-0.20807866752147675
VLP119_D_C2	VLP119_D	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.49328869136525755	0.00432698056101799	-0.06726698577404022
VLP119_D_C2	VLP119_D	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7847275085739909	-0.03603444993495941	-0.06085100769996643
VLP119_D_C2	VLP119_D	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.6646790126453217	-0.18622873723506927	-0.309522420167923
VLP119_D_C3	VLP119_D	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.5510486969198424	0.2845030128955841	-0.08754999935626984
VLP119_D_C3	VLP119_D	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.616369076090495	0.12244962900876999	-0.1635984480381012
VLP119_D_C3	VLP119_D	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.4480225367507476	0.05327073857188225	-0.0407206267118454
VLP119_D_C3	VLP119_D	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.5896885608720194	0.008653541095554829	0.0034924515057355165
VLP119_D_C3	VLP119_D	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.5897636268812569	-0.16695667803287506	-0.33587393164634705
VLP119_D_C4	VLP119_D	F4	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.3991990759317382	0.26772746443748474	-0.13965260982513428
