target_key	stage	target_embryo	gene	gene_index	endpoint	method	value
50p_E1_to_E2	50% epiboly	E2	efna1a	101	spatial_pearson	anchor_only_calibrated	0.5749622
50p_E1_to_E2	50% epiboly	E2	efnb2b	103	spatial_pearson	registered_idw_k12	0.38610527
50p_E1_to_E2	50% epiboly	E2	efnb2b	103	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6040381
50p_E1_to_E2	50% epiboly	E2	efnb2b	103	spatial_pearson	anchor_only_calibrated	0.6040381
50p_E1_to_E2	50% epiboly	E2	epcam	112	spatial_pearson	registered_idw_k12	0.12991719
50p_E1_to_E2	50% epiboly	E2	epcam	112	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6314449
50p_E1_to_E2	50% epiboly	E2	epcam	112	spatial_pearson	anchor_only_calibrated	0.6327372
50p_E1_to_E2	50% epiboly	E2	epha2a	113	spatial_pearson	registered_idw_k12	0.16340801
50p_E1_to_E2	50% epiboly	E2	epha2a	113	spatial_pearson	hyperspatial_map_calibrated_fusion	0.54877263
50p_E1_to_E2	50% epiboly	E2	epha2a	113	spatial_pearson	anchor_only_calibrated	0.5459789
50p_E1_to_E2	50% epiboly	E2	ets2	118	spatial_pearson	registered_idw_k12	0.37330785
50p_E1_to_E2	50% epiboly	E2	ets2	118	spatial_pearson	hyperspatial_map_calibrated_fusion	0.748982
50p_E1_to_E2	50% epiboly	E2	ets2	118	spatial_pearson	anchor_only_calibrated	0.7323076
50p_E1_to_E2	50% epiboly	E2	etv4	120	spatial_pearson	registered_idw_k12	0.39087537
50p_E1_to_E2	50% epiboly	E2	etv4	120	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7533156
50p_E1_to_E2	50% epiboly	E2	etv4	120	spatial_pearson	anchor_only_calibrated	0.8048884
50p_E1_to_E2	50% epiboly	E2	etv5b	122	spatial_pearson	registered_idw_k12	0.27732494
50p_E1_to_E2	50% epiboly	E2	etv5b	122	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6803519
