target_key,stage,source,target,method,label,evaluated_non_anchor_genes,source_defined_spatial_gene_count,pooled_cell_gene_residual_pearson,residual_spatial_pearson_median_all_genes,svg_spatial_pearson_median,svg_spatial_spearman_median,auprc_enrichment_median,topk_dice_median,weighted_centroid_error_median,spatial_emd_median,log1p_rmse,moran_error_median,eligible_localization_genes,spatial_pearson_ci_low,spatial_pearson_ci_high
75p_E1_to_E2,75%,E1,E2,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5759269900516985,0.4923119246959686,0.6582819223403931,0.6008867105671538,2.9525827602212438,0.6160379168102204,0.0179728334769606,0.0582292855633912,0.6472668647766113,0.230113185942173,100,0.6178435489535332,0.7194313406944275
75p_E1_to_E2,75%,E1,E2,transimpspa,TransImpSpa,479,100,0.5354559560595775,0.481512039899826,0.602168083190918,0.5474057548545833,2.569475259990253,0.557560954782365,0.0270101875066757,0.0676818717081987,0.6917641162872314,0.1038904190063476,100,0.5676630005240441,0.6566607668995856
75p_E2_to_E1,75%,E2,E1,registered_idw_k12,Registered IDW,479,100,,,0.4422600269317627,0.4067584280097638,2.43151808593254,0.4443844221105528,0.02259804867208,0.0652044491240128,0.7665116190910339,0.4417677223682403,100,0.4019361436367035,0.5135685205459595
75p_E2_to_E1,75%,E2,E1,anchor_only_calibrated,Anchor-only,479,100,0.6004795220610842,0.5233750343322754,0.6557297706604004,0.6195159966085138,3.3952976799374985,0.6144211068224386,0.0240316083654761,0.0677568256661517,0.6025152206420898,0.1024359315633773,100,0.6076412409543991,0.694868803024292
75p_E2_to_E1,75%,E2,E1,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5998713570708738,0.5231711864471436,0.6814945936203003,0.6316727019392177,3.422527424506232,0.5959838498866781,0.0196132194250822,0.0645070825529984,0.5977460741996765,0.1916740536689758,100,0.6053058505058289,0.7243927493691444
75p_E2_to_E1,75%,E2,E1,transimpspa,TransImpSpa,479,100,0.5271629039537138,0.5022508502006531,0.6427726745605469,0.5945462582477214,3.2853578919126014,0.6058689031016625,0.0337394289672374,0.0708348719639151,0.6600728631019592,0.0788315460085868,100,0.6062991619110107,0.6884995698928833
6s_E1_to_E2,6-somite,E1,E2,registered_idw_k12,Registered IDW,479,100,,,0.4488281011581421,0.3873541662652372,2.2382061809481217,0.4457444698620386,0.0128353922627866,0.0428295018794221,0.7356398701667786,0.3093386590480804,100,0.4010515809059143,0.4769230484962463
6s_E1_to_E2,6-somite,E1,E2,anchor_only_calibrated,Anchor-only,479,100,0.5929917134050299,0.5328139066696167,0.5947705507278442,0.5131868321270735,2.7726309448240998,0.5421104807909454,0.0187068348750472,0.0476276437164285,0.5954444408416748,0.1241703927516937,100,0.5605211853981018,0.619516134262085
6s_E1_to_E2,6-somite,E1,E2,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5734516827234577,0.5144235491752625,0.6231883764266968,0.5265988667784487,2.885228167645119,0.5658846308995562,0.0118733067065477,0.0384682184849653,0.598014771938324,0.2612605690956116,100,0.6000134348869324,0.6437608003616333
6s_E1_to_E2,6-somite,E1,E2,transimpspa,TransImpSpa,479,100,0.5317111639999721,0.4917439818382263,0.5704071521759033,0.4935614927838405,2.627672466363439,0.5215330058643133,0.0287944357842206,0.0558073536015039,0.6412795782089233,0.1199990212917327,100,0.5454886555671692,0.6038121104240417
6s_E2_to_E1,6-somite,E2,E1,registered_idw_k12,Registered IDW,479,100,,,0.4369348287582397,0.3827832347635982,2.0760311301007013,0.4455024043496977,0.020187484100461,0.0427383212663117,0.7554941177368164,0.3069911301136017,100,0.4048636846244335,0.4655787050724029
6s_E2_to_E1,6-somite,E2,E1,anchor_only_calibrated,Anchor-only,479,100,0.5824496246876166,0.5133149027824402,0.5765931606292725,0.5235979168021895,2.6162629798629387,0.5271441254667191,0.0146749843843281,0.0451918736778974,0.6175994873046875,0.1280322968959808,100,0.5398875743150711,0.6171621680259705
6s_E2_to_E1,6-somite,E2,E1,hyperspatial_map_calibrated_fusion,HyperSpatial-MAP,479,100,0.5125706843586567,0.4740554094314575,0.5724360346794128,0.5146918374716398,2.611453340091759,0.5247669131273762,0.015883476473391,0.0394844419026022,0.6410973072052002,0.2590943872928619,100,0.5147860050201416,0.6097224354743958
6s_E2_to_E1,6-somite,E2,E1,transimpspa,TransImpSpa,479,100,0.5122994023258249,0.4820703566074371,0.5304759740829468,0.4989408155288546,2.3298308625643136,0.4679416082939103,0.0269112596288323,0.0496817768909296,0.6734889149665833,0.1153765767812728,100,0.488497793674469,0.5689694285392761
