extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_rank	anchor_gene	anchor_gene_index	utility_median_residual_pearson	mse_improvement_median	fraction_genes_helped	genes_evaluated	top_supported_genes
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	11	ppp1r7	326	0.0028876147811233432	0.0005813721849842746	0.8016701461377871	479	rpl4,rac1a,tmed2,gapdh,znf576.2,snrpd3,arf5,pmp22b,prmt1,nap1l1
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	12	cfl1l	59	0.0005784663767003373	0.00012116034175463364	0.5949895615866388	479	rpl6,cbx3a,gmnn,rpl19,pttg1,kmt5aa,nanog,c1qbp,ptp4a2b,si:dkey-261h17.1
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	13	cdx4	57	0.0006487722744824564	0.0001232076014033301	0.6012526096033403	479	eve1,msgn1,tbxta,fgf8a,pbx4,arl4ab,wnt11f2,sox32,noto,dld
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	14	hoxb1b	189	-0.0001553299205145353	-3.918934185244416e-05	0.35490605427974947	479	her3,skila,irx1b,zeb2a,rxrgb,cdh2,myf5,si:ch211-163l21.7,unc5b,nog1
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	15	sox10	402	-3.099669103681646e-05	-1.8379165914725326e-05	0.48851774530271397	479	unc5b,sox17,mgst3b,pbx4,foxo1a,pmp22b,lhfpl6,cdc42ep4a,dand5,tbx1
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	foxg1a	142	0.0004550852806751715	8.202738773754881e-05	0.6304801670146137	479	bach1b,hoxc8a,rbm4.3,si:dkey-108k21.21,coq10b,cd63,snrpg,prdm1a,gcm2,apex1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	1	krt4	224	0.00042559965750915696	0.00010833440660215979	0.5887265135699373	479	akap12b,si:ch211-155e24.3,sox19a,igf2bp1,tdgf1,xbp1,lamp2,alcamb,ved,cdt1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	2	gata5	158	0.0021315126098421233	0.0005690899406536748	0.7035490605427975	479	lft2,lhx1a,foxa3,efnb2a,dkk1b,gata6,efna1a,kirrel3l,znf1004,snai1a
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	3	snai2	398	0.0015787543174344831	0.0004849127973837186	0.7139874739039666	479	sox3,zswim5,wnt11f2,sp5l,aldob,mych,cxcr4a,zic2b,tcf7l1b,uhrf1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	4	mdm2	254	0.001311215784976505	0.00037670616894715236	0.6471816283924844	479	ccng1,cdkn1ca,cdt1,ptp4a2b,smtnl,ccnf,atp2b1a,zeb1b,lamp2,mcm2
