extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_a	anchor_b_conditioned	anchor_a_rank	anchor_b_rank	conditional_utility_median_residual_pearson	conditional_mse_improvement_median	fraction_genes_helped_conditionally	genes_evaluated	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	cdx4	4	13	0.0015961651976934554	0.00027888079218152395	0.6805845511482255	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	hoxb1b	4	14	0.0014811452036875006	0.00029145539492508865	0.6764091858037579	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	sox10	4	15	0.0014961776112212832	0.0002816275465671869	0.6764091858037579	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	foxg1a	4	16	0.0015115450549197385	0.0002819060010396668	0.6764091858037579	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	klf2a	5	1	0.0006887749602173532	7.445425080004897e-05	0.5970772442588727	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	gata5	5	2	0.00043277642390482374	8.400902284838585e-05	0.5824634655532359	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	perp	5	3	0.0004427759103522999	5.164626607517819e-05	0.5741127348643006	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	mdm2	5	4	0.0007795979867493141	0.0001289808673705095	0.6096033402922756	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	cxcr4a	5	6	0.00046873828913118754	5.1241811290514416e-05	0.5782881002087683	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	dact2	5	7	0.0002505698160684411	4.204133114477093e-05	0.5615866388308977	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	bmp7a	5	8	0.0003534302368545239	5.608092997252956e-05	0.5741127348643006	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	efnb2a	5	9	0.0009727756160978207	0.00016955189396500314	0.6304801670146137	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	foxd5	5	10	0.0006620357178089842	9.022940589020756e-05	0.5970772442588727	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	ppp1r7	5	11	0.0004026439962034889	4.8036831820919e-05	0.5678496868475992	479	lower conditional utility indicates greater substitution/redundancy
