fold	cohort	method	cells	ancestors	genes	rho_future_pooled	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	original_rho_future_pooled	residual_pearson_status	table	estimate	ci95_low	ci95_high	bootstrap_unit	replicates	original_estimate	status	observed	null_mean	null_ci_low	null_ci_high	empirical_p	permutations	ancestor_count	descendant_count	division_fraction	median_path_length	eligible	guard_stability_fraction	prediction_sha256	remaining_ancestors	remaining_descendants	removed_fraction	rho_future_disjoint	rho_future_full	rho_future_shared	gene	future_residual_pearson	final_pearson	final_spearman
A	full															permutation								0.6205218131387544	0.4563864125536415	0.4539158797115976	0.4587653770048309	0.0099009900990099	100.0																	
A	shared															permutation								0.6201365857312646	0.4595023010816995	0.4566487902636009	0.4622924819781682	0.0099009900990099	100.0																	
A	disjoint															permutation								0.6216892017638889	0.4462431629166392	0.4403406089228444	0.4514711145922757	0.0099009900990099	100.0																	
B	full															permutation								0.6196155894705728	0.4731339413499578	0.4704753592047296	0.4755926576567899	0.0099009900990099	100.0																	
B	shared															permutation								0.6180852453736199	0.4731658932571505	0.4703329591220544	0.4760158306285439	0.0099009900990099	100.0																	
B	disjoint															permutation								0.624934739009537	0.4725662303452129	0.467170891529674	0.4784839417172217	0.0099009900990099	100.0																	
A	full															cohort_counts														3998.0	7028.0	0.7287991046905518	522.4967041015625													
A	shared															cohort_counts														2953.0	5381.0	0.7617543339729309	522.2852172851562													
A	disjoint															cohort_counts														1045.0	1647.0	0.6211293339729309	524.0067138671875													
B	full															cohort_counts														3907.0	6807.0	0.7252827882766724	516.491455078125													
B	shared															cohort_counts														2953.0	5373.0	0.7613995671272278	521.3748779296875													
B	disjoint															cohort_counts														954.0	1434.0	0.589958131313324	490.6812133789063													
A																overlap_excluded																		True	0.896969696969697	57ba68ca9d0145345693a3979eeadae4f341bbc3b5ff50d8d5197bde2252c7e7	954.0	1434.0	0.7893345085940944	0.5922006119548369	0.5906478321348732	0.5901486318453761				
B																overlap_excluded																		True	0.9454545454545454	8b3044ad353df895086e9eefd942d0e7d507134e7a4b20a84346ea56467a2b08	1045.0	1647.0	0.7656516789982926	0.6194586115737098	0.6131627693001436	0.611375373242817				
A		B1_lineage_registered_idw									1.327728509902954					per_gene																											ackr3b	0.10344743	0.0073565403	0.0157124149850609
A		B1_lineage_registered_idw									1.2438185214996338					per_gene																											acvr1ba	0.16753463	0.3832827	0.4354128199756978
A		B1_lineage_registered_idw									1.171260118484497					per_gene																											add3b	0.20620929	0.332808	0.3048705557483637
A		B1_lineage_registered_idw									0.6402146220207214					per_gene																											adka	0.19269241	0.4109383	0.4725642207895332
A		B1_lineage_registered_idw									1.6741507053375244					per_gene																											admp	0.0	-0.2787273	-0.2862304512659477
A		B1_lineage_registered_idw									0.7801066040992737					per_gene																											ahi1	0.059983507	0.042288747	0.0444980991411991
A		B1_lineage_registered_idw									0.2861769795417785					per_gene																											akap12b	0.0	0.10268951	0.1148781574251771
A		B1_lineage_registered_idw									1.4912257194519043					per_gene																											alcamb	0.18971036	0.41506428	0.3934828394864641
A		B1_lineage_registered_idw									0.4290224909782409					per_gene																											aldob	0.22173639	0.42129105	0.5577868081643632
A		B1_lineage_registered_idw									0.6540810465812683					per_gene																											anp32e	0.26450345	0.08105841	0.0914872673847208
A		B1_lineage_registered_idw									0.807485818862915					per_gene																											apex1	0.04890061	-0.0047283825	-0.0020826571309925
A		B1_lineage_registered_idw									1.0682172775268557					per_gene																											aplnra	0.19105989	0.16682431	0.1652522471357872
A		B1_lineage_registered_idw									0.92498117685318					per_gene																											aplnrb	0.053557772	-0.022805126	-0.0302758003559247
A		B1_lineage_registered_idw									1.42819344997406					per_gene																											apoc1	-0.28857675	-0.110767074	-0.1281723788038965
A		B1_lineage_registered_idw									0.5008321404457092					per_gene																											arf5	-0.08069491	-0.026672661	-0.0144229338768891
A		B1_lineage_registered_idw									0.7592585682868958					per_gene																											arhgap5	0.096302174	0.0034524752	0.0133295098149047
A		B1_lineage_registered_idw									0.731430172920227					per_gene																											arl4aa	0.08389992	0.064841725	0.0582207504234404
A		B1_lineage_registered_idw									1.0656496286392212					per_gene																											arl4ab	-0.08129887	0.15295242	0.1326380619860832
A		B1_lineage_registered_idw									1.0151907205581665					per_gene																											arl4d	-0.0523347	0.06616034	0.0852816487894004
A		B1_lineage_registered_idw									0.795807421207428					per_gene																											arl6ip5a	-0.021144332	0.042190455	0.0515458221921915
A		B1_lineage_registered_idw									0.8391981720924377					per_gene																											aspm	0.08405807	0.029650941	0.0269013285409011
A		B1_lineage_registered_idw									0.8102383613586426					per_gene																											atf6	0.0	-0.06288446	-0.0577074144600078
A		B1_lineage_registered_idw									0.584289014339447					per_gene																											atoh1c	0.034887034	-0.0019765447	-0.0022232603072002
A		B1_lineage_registered_idw									0.9815344214439392					per_gene																											atp2b1a	-0.013350867	-0.052172806	-0.0715916609314393
A		B1_lineage_registered_idw									0.3728076815605163					per_gene																											atrxl	0.004722424	0.023582548	0.0217361093837643
A		B1_lineage_registered_idw									0.5335559844970703					per_gene																											aurkb	0.08435455	0.11413852	0.126055055820728
A		B1_lineage_registered_idw									0.9156163334846495					per_gene																											axin2	0.04706745	0.013428832	0.0126731794369763
A		B1_lineage_registered_idw									0.7741581797599792					per_gene																											bach1b	0.020858573	0.06115567	0.0582623415892889
A		B1_lineage_registered_idw									1.737760305404663					per_gene																											bambia	0.0	-0.44612247	-0.4719021230466032
A		B1_lineage_registered_idw									0.7151781916618347					per_gene																											baz1b	0.1317243	0.10919576	0.1198022453338208
A		B1_lineage_registered_idw									0.7816815972328186					per_gene																											bcl2l1	0.021878822	0.013237365	0.0215574165552698
A		B1_lineage_registered_idw									0.7332468628883362					per_gene																											bhlha15	0.08354464	0.039924417	0.0381459000085892
A		B1_lineage_registered_idw									0.8439162969589233					per_gene																											blf	0.100637846	-0.05351884	-0.0564158740560934
A		B1_lineage_registered_idw									1.6636241674423218					per_gene																											bmp2b	0.0	-0.35935277	-0.4062543273953975
A		B1_lineage_registered_idw									1.380948185920715					per_gene																											bmp4	0.0	-0.29392424	-0.313917059851884
A		B1_lineage_registered_idw									1.4013442993164062					per_gene																											bmp7a	0.0	-0.3198256	-0.3441393946400758
