target_key	stage	source_embryo	target_embryo	method	seed	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high	predictable_genes	residual_spatial_pearson_median	rank_svg_spatial_pearson_median	effect_vs_idw_svg_spatial_pearson_median	rank_residual_spatial_pearson_median	effect_vs_idw_residual_spatial_pearson_median	rank_auprc_enrichment_median	effect_vs_idw_auprc_enrichment_median	rank_topk_dice_median	effect_vs_idw_topk_dice_median	rank_weighted_centroid_error_median	effect_vs_idw_weighted_centroid_error_median	rank_spatial_emd_median	effect_vs_idw_spatial_emd_median	rank_log1p_rmse	effect_vs_idw_log1p_rmse	mean_rank_7_endpoints	endpoint_gene_set	effect_orientation	evaluation_unit
50p_E2_to_E1	50% epiboly	E2	E1	anchor_only_calibrated	43.0	0.5080492496490479	0.4153293829749514	2.027187162464894	0.435740072202166	0.0126966908236842	0.0587243751767006	0.5955831408500671	0.0783319762219043	99.0	0.4289535261690616	0.5734292030334472	478.0	0.47213081518809	1.0	0.21389238039652514	1.0	0.47213081518809	1.0	0.5243314544621565	1.0	0.08144292361048527	1.0	0.0157980297789312	1.0	0.0092960167387953	1.0	0.1409854690233866	1.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
50p_E2_to_E1	50% epiboly	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.4818089008331299	0.4005325673476792	1.9298017400721064	0.414441480500118	0.0139711586572292	0.0588100913050566	0.6331961353619894	0.1519440159157975	99.0	0.3958243618408839	0.5442053447167079	478.0	0.4566731452941894	2.0	0.18765203158060717	2.0	0.4566731452941894	2.0	0.42694603206936876	2.0	0.060144331908437265	2.0	0.014523561945386199	2.0	0.009210300610439301	2.0	0.10337247451146436	2.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	registered_nearest_neighbor	43.0	0.3683451215426127	0.3137639531375184	1.8449615112268205	0.4638014516107434	0.0244995984328165	0.0648374325097209	0.9424687226613364	0.0975006228090099	100.0	0.283973753452301	0.4071711798508962	465.0	-0.0815649554133414	6.0	-0.06881208221117652	6.0	-0.0815649554133414	6.0	-0.24958449341503774	6.0	-0.028367112032434638	6.0	-0.0006287482555672984	5.0	0.0002823054513221013	6.0	-0.12871893246968602	5.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	registered_idw_k12	43.0	0.4371572037537892	0.4160607671796965	2.0945460046418583	0.492168563643178	0.0238708501772492	0.065119737961043	0.8137497901916504	0.4721462276634403	100.0	0.3734588940938313	0.4867953856786092	465.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	6.0	0.0	5.0	0.0	5.142857142857143	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	atlas_plus_global_anchor_residual	43.0	0.6371326049168905	0.5644696763124967	2.8458672390149364	0.5981949422431745	0.0199061083555237	0.0621823104303733	0.671321451663971	0.2405662474222361	100.0	0.5732844869295756	0.6885500421126683	465.0	0.3807724316914876	4.0	0.1999754011631013	4.0	0.3807724316914876	3.0	0.7513212343730782	3.0	0.10602637859999647	3.0	0.003964741821725501	2.0	0.002937427530669709	3.0	0.14242833852767944	3.142857142857143	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	atlas_plus_local_anchor_residual	43.0	0.6384305953979492	0.5645590597715935	2.841337937991099	0.5998196568629321	0.020375680939574	0.063764061728297	0.6761229236920675	0.2514962192227641	100.0	0.5821555122733116	0.6863892873128256	465.0	0.3876360158125559	3.0	0.20127339164416003	3.0	0.3876360158125559	4.0	0.7467919333492405	2.0	0.10765109321975413	4.0	0.003495169237675202	4.0	0.0013556762327460031	4.0	0.1376268664995829	3.4285714285714284	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	anchor_only_calibrated	43.0	0.6518192291259766	0.6018166309240374	2.9318285315586223	0.5979370095352539	0.0175873449574103	0.062351086150555	0.6414828300476074	0.1212873307600865	100.0	0.5942116816838582	0.6922270144025484	465.0	0.5043216745058695	2.0	0.21466202537218737	1.0	0.5043216745058695	2.0	0.8372825269167641	4.0	0.10576844589207585	1.0	0.006283505219838899	3.0	0.002768651810488007	1.0	0.17226696014404297	2.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E1_to_E2	75% epiboly	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.6579148769378662	0.6004637559276388	2.9515419457047547	0.6176476506911549	0.017802392164827	0.0616618232714286	0.6634019215901693	0.2299235403891668	100.0	0.6118889580170314	0.7173023750384648	465.0	0.4988109072049458	1.0	0.22075767318407702	2.0	0.4988109072049458	1.0	0.8569959410628964	1.0	0.1254790870479769	2.0	0.006068458012422201	1.0	0.0034579146896144067	2.0	0.15034786860148108	1.4285714285714286	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E2_to_E1	75% epiboly	E2	E1	registered_nearest_neighbor	43.0	0.336738924185435	0.3062102375019743	2.052339436552844	0.3918730746236891	0.0253231001060715	0.0667934404190481	0.914297103881836	0.08296364861418	100.0	0.2812586858868599	0.4034869832297165	467.0	-0.0990160703659057	6.0	-0.09342315793037409	6.0	-0.0990160703659057	6.0	-0.34017985904467896	6.0	-0.04657123236349531	6.0	-0.0014730310457349016	4.0	0.0009082800705998983	6.0	-0.13074445724487316	5.714285714285714	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E2_to_E1	75% epiboly	E2	E1	registered_idw_k12	43.0	0.4301620821158091	0.4026277814601481	2.392519295597523	0.4384443069871844	0.0238500690603366	0.067701720489648	0.7835526466369629	0.4405847470320118	100.0	0.3968724300463994	0.5074669574697812	467.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	4.0	0.0	6.0	0.0	5.0	0.0	5.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
