target_key	stage	annotation	class	n_cells	cell_fraction	median_absolute_truth_residual	median_within_class_truth_residual_variance	hyperspatial_map_calibrated_fusion__median_within_class_residual_pearson	hyperspatial_map_calibrated_fusion__genes_with_positive_within_class_recovery	anchor_only_calibrated__median_within_class_residual_pearson	anchor_only_calibrated__genes_with_positive_within_class_recovery	atlas_plus_global_anchor_residual__median_within_class_residual_pearson	atlas_plus_global_anchor_residual__genes_with_positive_within_class_recovery	atlas_plus_local_anchor_residual__median_within_class_residual_pearson	atlas_plus_local_anchor_residual__genes_with_positive_within_class_recovery	n_genes	primary_method
6s_E1_to_E2	6-somite	clusters	Hindbrain R7	1068	0.0413024982597262	0.4003371596336365	0.3348526358604431	0.44339317083358765	439	0.4644222855567932	441	0.24291223287582397	422	0.2558802664279938	415	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Midbrain	1095	0.04234666254157321	0.3513670861721039	0.30162668228149414	0.4129566550254822	440	0.43478286266326904	441	0.20341703295707703	415	0.2122700810432434	397	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Neural Crest	535	0.020689921881042617	0.4101630747318268	0.3499448299407959	0.3795967400074005	440	0.39460811018943787	440	0.18725521862506866	423	0.19012612104415894	415	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Notochord Anterior	365	0.014115554180524403	0.42326197028160095	0.2928997278213501	0.5029719471931458	439	0.5227946043014526	440	0.2827818989753723	415	0.27933475375175476	414	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Notochord Posterior Tip - anterior	101	0.00390594786913141	0.4211292266845703	0.24451670050621033	0.4072582721710205	432	0.4305996000766754	436	0.20832113921642303	357	0.1946001499891281	351	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Notochord Posterior Tip - posterior	196	0.007579859231185706	0.4381590485572815	0.3438972234725952	0.43336305022239685	431	0.44780051708221436	437	0.26730552315711975	391	0.27729418873786926	380	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Optic Cup	819	0.03167298321602599	0.3154695928096771	0.24796296656131744	0.4639676809310913	441	0.49424564838409424	441	0.24005022644996643	428	0.2371610552072525	416	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	PSM Intermediate	1317	0.05093201330342641	0.37532559037208557	0.31532663106918335	0.47287705540657043	441	0.4855063259601593	441	0.2858193814754486	438	0.29120272397994995	438	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Placode Epibranchial	368	0.014231572434062959	0.42465755343437195	0.38938483595848083	0.3965434432029724	438	0.4085826575756073	440	0.21165673434734344	415	0.21164627373218536	413	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Placode Lens	483	0.018678938819707634	0.4108291566371918	0.350801557302475	0.4046207666397095	439	0.41835686564445496	441	0.20836323499679565	412	0.2033812403678894	401	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Placode Otic	564	0.021811431665248664	0.41721731424331665	0.3548998236656189	0.3795061707496643	438	0.3931938111782074	440	0.17749232053756714	418	0.18323618173599243	412	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Placode Trigeminal	404	0.01562379147652564	0.40366119146347046	0.3451246917247772	0.4094361960887909	440	0.43279603123664856	441	0.20683768391609192	415	0.2092454433441162	403	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Prechordal Plate	496	0.01918168458504138	0.3924558758735657	0.2538645565509796	0.48122960329055786	438	0.5137057304382324	441	0.23805809020996094	396	0.19913515448570251	387	441	hyperspatial_map_calibrated_fusion
