panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6j,75p_E1_to_E2,75% epiboly,si:dkey-92i17.2,500.0,,0.005019126,0.01003541816025972,True,,9.706627193954276,0.09741006281707958,,,
S6j,75p_E1_to_E2,75% epiboly,six3b,500.0,,0.021170333,0.02772576948627829,True,,6.281363247919754,0.1741556294714034,,,
S6j,75p_E1_to_E2,75% epiboly,skia,500.0,,0.0038141636,0.009076643921434877,True,,13.943911697238617,0.12656392134776556,,,
S6j,75p_E1_to_E2,75% epiboly,skila,500.0,,0.0041170754,0.009482823219150295,True,,10.432344291139147,0.09892807667418432,,,
S6j,75p_E1_to_E2,75% epiboly,skilb,500.0,,0.0038297279999999997,0.008808159083127973,True,,13.999856181694641,0.12331296038927896,,,
S6j,75p_E1_to_E2,75% epiboly,smtnl,500.0,,0.02936061,0.036539224348962285,True,,6.813772941909101,0.2489699781873054,,,
S6j,75p_E1_to_E2,75% epiboly,snai1a,500.0,,0.0029575041999999998,0.007889712927863002,True,,37.04843121602621,0.2923014867221252,,,
S6j,75p_E1_to_E2,75% epiboly,snai2,500.0,,0.0043818224,0.0093518593814224,True,,20.500810262923764,0.1917206947840842,,,
S6j,75p_E1_to_E2,75% epiboly,snrpc,500.0,,0.0046026106,0.009617305081337688,True,,7.428795475432648,0.07144499247409683,,,
S6j,75p_E1_to_E2,75% epiboly,snrpd3,500.0,,0.011634108999999998,0.017523648217320442,True,,9.140959737364096,0.16018296280625827,,,
S6j,75p_E1_to_E2,75% epiboly,snrpg,500.0,,0.0038451566,0.009176989877596495,True,,7.320819123500579,0.06718308299207966,,,
S6j,75p_E1_to_E2,75% epiboly,sox10,500.0,,0.011253758999999999,0.017197345197200772,True,,6.361039101958672,0.10939298524927528,,,
S6j,75p_E1_to_E2,75% epiboly,sox11a,500.0,,0.0011531669,0.00571149867027998,True,,38.74283053278557,0.22127962507088736,,,
S6j,75p_E1_to_E2,75% epiboly,sox11b,500.0,,0.0017924951,0.006270958110690116,True,,23.29936415663237,0.14610933663195635,,,
S6j,75p_E1_to_E2,75% epiboly,sox13,500.0,,0.006302001999999999,0.012148872809484595,True,,15.984265953601557,0.1941908140232803,,,
