record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
gene_trajectory_comparison	A	E1	E2	full			cnn3a																						0.10675758	0.055581822999999995	-0.05117575700000001	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			coq10b																						0.047309652	0.15172568	0.104416028	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			crabp2b																						0.48883909999999997	0.5889766	0.10013749999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			creb3l1																						0.17033948	0.17866506	0.008325579999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			creb3l2																						0.22288696	0.22565986	0.002772899999999995	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			csrp1a																						-0.011087092	0.057270277	0.068357369	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cst3																						0.11711353	0.20703675	0.08992322	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ctcf																						0.27461678	0.3836118	0.10899502	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cth1																						0.10949311	0.16634898	0.05685587	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			CU570769.1																						0.090192884	0.15467283	0.06447994600000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cux1a																						0.012363853000000001	0.07246571	0.060101857	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cxcl12b																						0.0	0.0042305146000000005	0.0042305146000000005	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cxcr4a																						0.06340180000000001	0.095718384	0.032316583999999995	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dact2																						0.43876684	0.503223	0.06445615999999998	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dand5																						0.022158037999999998	0.11825538	0.096097342	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dbx1a																						-0.01568855	0.047356233	0.063044783	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ddx4																						0.13010207	0.20140213	0.07130006000000003	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dharma																						0.11585335	0.093598366	-0.02225498399999999	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dkc1																						0.21139611	0.30770564	0.09630953	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dkk1b																						0.24843454	0.23095164	-0.017482899999999996	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dld																						-0.08439183	0.5557966999999999	0.6401885299999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dlgap5																						0.0072919554	0.082854	0.0755620446	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dlx3b																						0.14158906	0.6413079	0.49971884000000005	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dmd																						0.10902049	0.13155568	0.02253519000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			drll.2																						0.0	0.5680227	0.5680227	True	gene_within_directional_target_embryo	True
